district_id,province_id,name
8011,80,Thung Yai
8012,80,Pak Phanang
8013,80,Ron Phibun
8014,80,Sichon
8015,80,Khanom
8016,80,Hua Sai
8017,80,Bang Khan
8018,80,Tham Phannara
8019,80,Chulabhorn
8020,80,Phra Phrom
8021,80,Nopphitam
8022,80,Chang Klang
8023,80,Chaloem Phra Kiet
8101,81,Mueang Krabi
8102,81,Khao Phanom
8103,81,Ko Lanta
8104,81,Khlong Thom
8105,81,Ao Luek
8106,81,Plai Phraya
8107,81,Lam Thap
8108,81,Nuea Khlong
8201,82,Mueang Phang-nga
8202,82,Ko Yao
8203,82,Kapong
8204,82,Takua Thung
8205,82,Takua Pa
8206,82,Khura Buri
8207,82,Thap Put
8208,82,Thai Mueang
8301,83,Mueang Phuket
8302,83,Kathu
8303,83,Thalang
8401,84,Mueang Surat Thani
8402,84,Kanchanadit
8403,84,Don Sak
8404,84,Ko Samui
8405,84,Ko Pha-ngan
8406,84,Chaiya
8407,84,Tha Chana
8408,84,Khiri Rat Nikhom
8409,84,Ban Ta Khun
8410,84,Phanom
8411,84,Tha Chang
8412,84,Ban Na San
8413,84,Ban Na Doem
8414,84,Khian Sa
8415,84,Wiang Sa
8416,84,Phrasaeng
8417,84,Phunphin
8418,84,Chai Buri
8419,84,Chai Buri
8501,85,Mueang Ranong
8502,85,La-un
8503,85,Papoe
8504,85,Kra Buri
8505,85,Suk Samran
8601,86,Mueang Chumphon
8602,86,Tha Sae
8603,86,Pathio
8604,86,Lang Suan
8605,86,Lamae
8606,86,Phato
8607,86,Sawi
8608,86,Thung Tako
9001,90,Muaeng Songkhla
9002,90,Sathing Phra
9003,90,Chana
9004,90,Na Thawi
9005,90,Thepha
9006,90,Saba Yoi
9007,90,Ranot
9008,90,Krasae Sin
9009,90,Rattaphum
9010,90,Sadao
9011,90,Hat Yai
9012,90,Na Mom
9013,90,Khuan Niang
9014,90,Bang Klam
9015,90,Singhanakhon
9016,90,Khlong Hoi Khong
9101,91,Mueang Satun
9102,91,Khuan Don
9103,91,Khuan Kalong
9104,91,Tha Phae
9105,91,La-ngu
9106,91,Thung  Wa
9107,91,Manang
9201,92,Mueang Trang
9202,92,Kantang
9203,92,Yan Ta Khao
9204,92,Palian
9205,92,Sikao
9206,92,Huai Yot
9207,92,Wang Wiset
9208,92,Na Yong
9209,92,Ratsada
9210,92,Hat Samran
9301,93,Mueang Phatthalung
9302,93,Kong Ra
9303,93,Khao Chaison
9304,93,Tamot
9305,93,Khuan Khanun
9306,93,Pak Phayun
9307,93,Si Banphot
9308,93,Pa Bon
9309,93,Bang Kaeo
9310,93,Pa Phayom
9311,93,Srinagarindra
9401,94,Mueang Pattani
9402,94,Khok Pho
9403,94,Nong Chik
9404,94,Panare
9405,94,Mayo
9406,94,Thung Yang Daeng
9407,94,Sai Buri
9408,94,Mai Kaen
9409,94,Yaring
9410,94,Yarang
9411,94,Kapho
9412,94,Mae Lan
9501,95,Mueang Yala
9502,95,Betong
9503,95,Bannang Sata
9504,95,Than To
9505,95,Yaha
9506,95,Raman
9507,95,Kabang
9508,95,Krong Pinang
9601,96,Mueang Narathiwat
9602,96,Tak Bai
9603,96,Tak Bai
9604,96,Yi-ngo
9605,96,Ra-ngae
9606,96,Rueso
9607,96,Si Sakhon
9608,96,Waeng
9609,96,Sukhirin
9610,96,Su-ngai Kolok
9611,96,Su-ngai Padi
9612,96,Chanae
9613,96,Cho-airong
